AssignmentId,WorkTimeInSeconds,WorkerId,annotatorAge,annotatorGender,annotatorRace,distracted,draining,frequency,importance,logTimeSinceEvent,mainEvent,memType,mostSurprising,openness,recAgnPairId,recImgPairId,similarity,similarityReason,story,stressful,summary,timeSinceEvent,sequentiality
3DYGAII7PMU6UI4O1W8UVYRG94BPQ2,3166,Q51TDTVW,55.0,woman,white,1.0,2.0,5.0,5.0,4.836281906951479,Having a total ankle replacement.,recalled,My ankle didn't swell much after surgery.,1.0,3DYGAII7PMU6UI4O1W8UVYRG94BPQ2,3DYGAII7PMU6UI4O1W8UVYRG94BPQ2,,,"When I was much younger I used to run quite a bit. One day I sprained my ankle while running and injured it pretty badly. Because I had no insurance at the time, I could not get it seen to by a doctor. Anyway, fast forward 4 decades (I'm 64 now) and have bone on bone arthritis in my right ankle joint. I was in a lot of pain daily and was having trouble walking any distance. So, in April of this year I, found a doctor who actually does ankle REPLACEMENT surgery. Now, prior to about 5 years ago, this was unheard of and the only thing available was a fusion of the ankle bone, which is probably why I did not have anything done earlier. The surgery is so new, that there are no predictions as to how long the joint will last, because there is no long term data yet. But, in April I took the plunge and had my right ankle replaced. Although the recovery is said to last up to a year (I'm 4 months in), I am walking without pain for the first time in years. I was unable to bear weight for one month and have had three months of physical therapy retraining my ankle to walk again. I still have a long way to go to recover my balance when walking and doing the kind of hiking and walking I love to do, but I feel it will all be worth it in the long run. When I have fully recovered, I should have 98% mobility in my ankle, which is a far cry from a fusion. I am very thankful I waited for the right time and technology to come along. It never ceases to amaze me when I think about the advancements in medical science that are happening so quickly. I'm just glad I have a new ankle, and my friends all call me the Bionic Woman.",1.0,"In April 2019, I had my right ankle replaced with a revolutionary new technique that offers 98% mobility to the ankle. There is up to a year recovery including 1 month of non-weight bearing and several months of physical therapy relearning to walk on that foot.",126.0,411.39943847862475
3A0EX8ZRN9ADZQU0917ND0PUG9UBYE,858,4NS1YBPW,25.0,man,white,1.0,1.0,,1.0,4.499809670330264,giving birth to a new baby boy,imagined,realizing the difficulties of being a new mother,0.875,,3SKEMFQBZ4RZDN7C2AMMDQKHVKD8K5,1.0,{},"Dear Diary,3 months ago I gave birth to a beautiful baby boy. The process went as planned. My husband and director both were there to assist me. I'm so glad to have my new baby boy. The stress of being a new mother is overwhelming at times though. Luckily I do have my husband to help. What an amazing helper he is too. I don't think I could be a new mother without him by my side supporting and helping through it all. Honestly, I imagined this would be a lot easier than it is. I don't think anyone is ever fully prepared though. I have a whole new look on life because of this wonderful little boy. I cannot wait to see what life has in store for us both. There's going to be many ups and downs. I look forward to every moment with him. Thinking of him growing up already has me emotional. Life has definitely gotten a lot more interesting with him around and it's only been 3 months.",1.0,I gave birth to a beautiful baby boy. My husband was there to assist me. My director was there also.,90.0,468.6334620934899
3MB8LZR5BGFUSURVWZVQIV6N422LKJ,843,3M3OFEDQ,18.0,man,white,1.0,3.0,2.0,4.0,67.97894050115326,graduating from college,recalled,I recognized almost every name of the people walking across the stage,0.75,,3MB8LZR5BGFUSURVWZVQIV6N422LKJ,,,"I graduated from college a little over three months ago. It was the culmination of 4 years of hard work. The ceremony itself was pretty uneventful, with traditional student and guest speakers. I remember standing with my friends together for the last time in the tunnel for hours waiting for the ceremony to start. After the initial ceremony, we moved buildings to do proceedings for each individual college's graduation. It was pretty cool to see my friends walk across the stage. Another interesting thing is that I realized how many of the people in my college that I got to know over my four years. I recognized almost every name. I didn't go to the smallest school, so this was a pretty cool realization. Everyone's favorite teacher was reading out the names, so that made it a lot better, too. After the ceremony, my family and I were so tired from the day's events that we just wanted to go home. A lot of people went out to fancy restaurants to eat, but I just wanted to go to my favorite sandwich shop at home. After returning home, I took a much-needed nap. The day was exhausting but it's one of those things that you never forget. The biggest takeaway was reflecting on all of the relationships that I had made.",1.0,"I graduated from college three months ago. The day was long, but ultimately rewarding as I got to think back on my experiences. I was glad to have enjoyed my time at school so much.",3.333333333333333e+29,488.62800541667195
3J2UYBXQQMYAWJHK52F6AS9IPTY066,932,VPDXMQZA,25.0,woman,white,1.0,4.0,2.0,5.0,5.598421958998375,my cat's blocked bladder,retold,I felt his hard bladder,0.75,3QIYRE09Y43IAT8U025NQ8ED0QVN1B,,,,"My cat had a medical emergency and nearly died due to having a blocked bladder.  I was absolutely terrified that he was no going to live.  I had gotten home and discovered him laying on his side in pain in the middle of the night.  I felt his bladder and realized that it was a hard as a rock.  I immediately put him in a carrier and brought him to the emergency medical center for pets.  The vet there had a urinary catheter placed but not without complications.  His urethral passage was no narrow that she was struggling to place the catheter.  Without the urinary catheter, my cat was going to need a surgery I knew I wouldn't be able to afford.  I was so heartbroken and scared that I was going to have to euthanize my cat.  Thankfully, the vet was able to place the urinary catheter and flushed out his bladder.  I felt so relieved that he was going to be able to make it through the night.  It gave me the time needed to be able to contact our regular vet in the morning and to be able to transfer him there.  I spent all night thinking about my cat and hoping that he would be okay.  Once I did transfer him to the regular vet, she recommended that he have surgery to widen his urethral passage.  This would help prevent future blockages that he would like have.  Thankfully, surgery at our regular vet is much cheaper than surgery at the medical emergency center.  Therefore, I was able to provide him the preventive surgery.  After that surgery was done, I felt so much better.  All he had to do was recover from the surgery and I was grateful that he was going to live.  This experience has made me more aware of how both my cats are doing in terms of their health.  I think about this event a few times of month because I know that cats who have been blocked before can get blocked again.  It makes me feel cautious and truly appreciate having my cat with me today.",4.0,My cat had a medical emergency and nearly died.  I felt terrified that he was not going to make it but the urinary catheter and surgery saved his life.,270.0,837.8854620544705
3I7DHKZYGOM5AJWW31OMLTIMZYW5FF,1081,V360SYU2,50.0,woman,white,1.0,1.0,3.0,5.0,5.48063892334199,"We were given a discount, and then asked to give it back",retold,The contractor asked us to give back a discount,-0.125,3ZV9H2YQQET47QVNF7ATAK61QT9W3C,,,,"This is really an unbelievable story that caused me much upset because I wanted to do the right thing. We hired an air conditioner contractor. This was after much research as well as numerous quotes and checking out many companies. The amount for a new heat/air unit was something we had to take a loan out for. We wanted to get it right because it is a large expense. We chose the company, they came out and we went through our options of different units and chose the best one for our 1,600 sq ft house. We even chose to pay a little more for a brand we trusted. The workers tore out the old unit and put in the new. He did not put in a new thermostat as he forgot to bring the digital one we ordered, he came back 2 days later and asked how the unit was doing, I explained it was very loud and sounded like tennis shoes in a dryer, He checked out the system, made numerous adjustments but could not get the sound to go away. He was confused and asked that I allow him to go and research and call the manufacturer to get ideas on what the problems was. He came back the next day with what we thought was a solution but it still didnt work. In all of his confusion he requested a few more days assuring me it would be taken care of. Another couple of days passes and he comes back with yet another solution from the manufacturer. This again did not work.He then wanted his money but of course, he wasent going to pay him when my brand new air unit sounded like an old dryer. He said because of all of the trouble he would take 10% off of the cost. We agreed and he discounted the price by about $600. He also promised in writing he would take care of the problem or install a brand new unit.A week later he shows up with yet another solution that this time cut the noise down by 75%, we were happy with that and the discount. I paid his worker an additional $150 for other trunkline work done that was not included in the total price. He then said he needed to collect the rest of the money for the air conditioner?? we were shocked what?? you were paid in full. He proceeds to tell us that was a discount just until he got it fixed? What really? I never heard of someone especially a business giving a temporary discount and this was never discussed. He proceeded to become angry that we were not giving the discount back and threatened to sue us for the $600.",1.0,A discount was given. After the work was done the air conditioner man tried to take the discount back. Contractor threatened to sue us.,240.0,1041.4042016889584
3UNH76FOCTR9IHYX0QXWRG0N5J5YMU,1476,Q5HMAYUU,25.0,woman,white,1.0,3.0,2.0,5.0,5.3471075307174685,about finding unexplained debt,retold,when I found out who committed the fraud,0.75,326O153BMJK88IBTNWMZ1NLD2KIEDT,,,,"I was looking into finances and how to become more financially fit. I decided  to run a full credit report on myself, especially since it was free. To my surprise, I found close to $15,000 in credit card debt.  I had no idea about and that was not actually mine. I called the credit card company that the report said the credit cards were with to report fraud. The credit card company  then told me payments have been made, which means it probably was not someone random and to check with family and friends first. After this, I then discovered that it was my own parent who had opened two credit cards in my name and maxed them out. I was so upset and in shock. I felt betrayed, frustrated, upset, and like I didn't know who to trust anymore. i could not believe a parent would do this to their own child. I was then made to feel guilt tripped over it and that I should own it. I forced them to figure out a way to pay it off in a certain time frame. I am unsure how they managed that, but they did. I had to threaten them with legal action if it was not paid by the given date. Fortunately, it did not come to this.",4.0,"I ran a credit report on myself and found unexplained debt. I was shocked, but found out who it was. I made them pay it back.",210.0,617.9254543053273
30LB5CDZNDWCKT1V77CH7Q2C6D90ZH,5391,09LYTC5U,30.0,man,white,1.0,2.0,,4.0,4.248495242049359,losing a pet cat,imagined,the cat loved tuna,1.0,,3QHK8ZVMIN4TZRN1QMIXJSNXIVELBV,5.0,I identify with this story because I have a pet cat and will feel great sorrow when he passes away.,"It's been 10 weeks and I am still so darn sad. My favorite pet ever, Ashton, passed away from old age. Her vet said it was likely to happen this year but still I was not prepared mentally for this. She was the best possible cat ever, and everyone I know absolutely adored her. She would always rub up against other people's legs when the came to my house. And boy did she ever love her tuna! Despite owning more than 10 cats in my life, I have never seen another cat as social as Ash was. It's truly a huge loss for me and my family. My grand daughters especially loved playing with her when they came over to visit. Thankfully I will always have the images and videos of her running around and being hilarious, but it's not quite enough. I know some people have asked me if I will be getting another cat to keep me company, and I'm not sure. In some ways I cannot imagine having a cat who is better than Ash. Or maybe I just need some time to pass so I am not so emotional. It's been more than two months and I'm still struggling to hold back tears over it. What a wonderful cat who lived a wonderful life!",1.0,"The loss of my favorite, my cat Ashton or Ash. Smart, mischievous and sharp, he captured everyone’s heart.",70.0,626.755477547366
3PPTZCWALR608M6UO56WMWTUTZ9ZQQ,1505,8CW043B9,30.0,man,white,1.0,4.0,5.0,5.0,4.499809670330264,finding out that my father is cheating on my mother,recalled,my father lied to our faces,0.875,,3PPTZCWALR608M6UO56WMWTUTZ9ZQQ,,,"About three months ago I found out that my father has been cheating on my mother. I found out by chance. What was making it even worse was that it wasn't the first time he was cheating on my mother. Also, the woman he was involved with was in her early twenties, so she was younger that my little sister. I felt horrible and truly disgusted with him. I didn't know what to do. I decided to speak with my sister about it and it turned out that she was suspecting him for a couple of months.  After talking for hours we decided against telling our mother, because her mental state has been very fragile for the last couple of years. We decided that we would confront our father though. When we did he denied it and lied to our faces over and over again. He claimed that the woman was just a good friend of his and was helping him with a new business venture. He even got frustrated that we don't believe him. Both my sister and I are a 100% certain that he was lying and that he was cheating on my mom. I am not sure if after we confronted him he had put an end to the affair or it is still a thing. Honestly, I think that it would be much better if my mother had divorced him the first time she caught him cheating, while we were still kids. She could've been so much happier without him.",4.0,"I found out that my father has been cheating on my mother for months. On top of that, the woman he was involved with was in her early twenties, so she was younger than my sister. My sister and I confronted him, but he denied and lied to our faces.",90.0,350.373107218372
3B1NLC6UG0IFHTAAY03I1KNE4J8PGI,3361,E55OAJ45,55.0,woman,white,2.0,2.0,4.0,5.0,5.010635294096256,I was sick one night and my significant other finally cared!,recalled,He brought me flowers the next day!,0.25,3B1NLC6UG0IFHTAAY03I1KNE4J8PGI,3B1NLC6UG0IFHTAAY03I1KNE4J8PGI,,,"I was not feeling that well about five months ago. I thought I needed to go to the ER in fact. It was the middle of the night. I didn't want to wake my significant other in case the symptoms passed. It was like I was having a heart attack, almost, however. I got up and went to the restroom where I just basically rested and tried to see if my shortness of breath would pass. It did after I remained calm and steady. I heard my fiance at the door, he woke up despite my trying to be quiet. He actually noticed I was in the bathroom for quite some time so he came looking to see if I was fine. This surprised me because he is usually a heavy sleeper. On this particular night he was not, which was a good thing! I was so surprised as he spoke to me in such a gentle way and not grumpy also. There have been a few times when he was not in a good mood when he did wake up suddenly for other reasons. After he saw I was okay we both went back to bed. We decided that I would make a Dr appointment in case something was still wrong. Then he went to work the next day as normal. When he came home later that evening he brought me a bouquet of roses which were my favorite! I was surprised and shocked. He had never done that before after finding out I wasn't feeling well. I think he was really changing his ways. I just might be able to spend my life with this man afterall.",2.0,I was not feeling well. My significant other was especially nice to me this time. He is starting to understand the concept of being involved with a person and caring more.,150.0,724.6168410414987
3VW04L3ZLUSVCO7R91D3JJ9C7NZXXK,5937,NR4FPL1G,40.0,woman,white,1.0,1.0,4.0,5.0,67.97894050115326,my beach vacation to spend quality time with husband,recalled,my husband and I became closer after all these years.,1.0,3VW04L3ZLUSVCO7R91D3JJ9C7NZXXK,3VW04L3ZLUSVCO7R91D3JJ9C7NZXXK,,,"I have been married almost 24 years, and we seemed to have drifted apart in the last few years. In fact, we actually separated for 8 months a few years ago. We decided to give it another chance. We have two children and we invested enough time and effort in our marriage, along with love, that we thought it was worth not giving up. But, it still seemed we just weren't quite as connected and close and we should be at this point in our marriage. My husband travels for work often, so that has been a strain on us at times. So, I planned a very nice family vacation about 3 months ago. Even though our children would be with us, along with my niece and my daughter's boyfriend, I felt it would give my husband and I a chance to spend more quality time together. Our children are older, so they don't need constant supervision and can be left alone. I book a beach vacation, with our accommodations directly on the beach, with an amazing ocean view. I told my husband that we could spend some time on the beach together, just us. I wanted to take some nighttime walks on the beach, sit down at the ocean, talking and gazing at the stars. I also hoped we could spend quality time together on the beach during the day. We did go on our vacation at the beach. During this time, we took walks on the beach at night. We talked over our relationship, discussing the issues in our marriage. We sunbathed on the beach during the day, laughing and playing in the ocean together. It did let us get closer together. It was refreshing and needed time for us together. Some time away from the daily grind of live, spending some time together to reconnect and talk.",1.0,"Recent family beach vacation. Time spent together with my family, but mainly to get closer to my husband. An opportunity to try and help with marital disconnect and get closer.",3.333333333333333e+29,1024.597365232164
3QECW5O0KINFTOEXYLTB2XXMSNG5TV,2775,K5CGUEMI,25.0,man,native,1.0,1.0,,,4.0943445622221,acceptance of a price deal to buy a house.,imagined,they approached me with a price negotiation.,0.75,,3SLE99ER0OZD4G455N96R7YVN5FBZP,3.0,It was somewhat similar when I tried to buy a house in my personal life.,"My father died in an accident six months ago. So nearly four months myself and my mother decided to sale our house and move to other location. I searched in online for buying a new house in my preferred area. We even approached many real estate agents to find a good home. In between we sold our old home and deposited the amount in the bank. We moved to a rented house for a temporary time. We searched for many houses but we didn't find any proper house. I even asked my friends and family to inform me about any house selling. Suddenly I got a call from my friend. She said that she found a house ready to sale in her locality. I liked the house from outside. Immediately I went to the house and looked for the facilities and any damages so that I can ask for right price. Everything was fine with some small damages here and there. I decided to buy the house and talked about the price. But at that time they asked a high price for the house. Then two months ago they came to my house with some price negotiation. Though the price was somewhat high, I accepted to the price and the deal was concluded.",2.0,The acceptance occurred at my house on a bright sunny day. It was unexpected and me and my mother were both very emotional.,60.0,658.6482193357128
3Q5ZZ9ZEVP1WV4M9VNIGB11ZNPJ850,3065,YRZACA4X,45.0,woman,white,1.0,1.0,,5.0,5.010635294096256,Myself and my friends were stuck in an elevator.,imagined,Playing charades with the guys stuck in the elevator next to us.,1.0,,3EWIJTFFVPTE9YAZBKY4MG1UH7L0EV,5.0,"I think it does because it would be something I could see myself doing, turning a possible panic situation to a positive one.","One of the best experiences I have ever had was five months ago.   We were all miserable and had low moral after being laid off of our job the day before.  We decided to go on a girls trip to cheer ourselves up.   The last thing any of us expected was for to get stuck in the elevator at the hotel we were staying at    We were headed to the pool and the elevator stopped between floors.  All we had on was our bathing suits , t'shirt, shorts and flip flops.  My friend had brought her bag and had a bottle Fireball Schnapps hidden in the bottom.  She started to  have major anxiety due to the small space and pulled out the bottle and took a drink.  We all then took a drink and another and within in a few minutes we started feeling goofy and relaxed.  The elevator was on the outside of the building and had glass all around the backside.  You could see the pool area and the the elevators right next to us.  There were three  guys in the elevator to our right.  They were stuck also.  They couldn't hear us and we just tried to communicate with hand signals.  They were laughing and having as much fun as we were.  We couldn't wait to get out of the elevator and hang out with them at the pool.    Before we knew it we were engaged in a game of charades with the guys next to us.  It made it more fun because we could only communicate with body language and trying to read lips.  I don't think we ever laughed so hard.  Who knew you could have that much fun stuck in an elevator for a couple hours.  Needless to say the elevators started moving again and my friends and I continued hanging out with the guys down at the pool.  It was definitely a time we will never forget.",1.0,My friends and I were stuck in a hotel elevator.  We were all miserable but turned the situation around. It was one of the most memorable experiences for all of us.,150.0,925.7620173918903
33CKWXB73K6FWM15VF7PT11AXFA11H,1243,FCV3UJAV,55.0,woman,white,1.0,1.0,3.0,4.0,5.010635294096256,a trip to Miami to visit family.,retold,the septic system had a major issue with 10 adults and a 2 year old in,0.625,3WETL7AQWUUAU7G3J6NKKKTOZIN35L,,,,"In April my husband and I drove from Tennessee to Miami to celebrate my older sister's birthday and to see our niece and family. It was a long drive and we stopped some place about 2 hours away for the night. We arrived right at lunchtime, but my sister and husband hadn't gotten there yet. They were coming from just across the state. So we had a little time to visit with my niece who I'll call N. We also got to meet her staff who works out of N's home. Once my sister (C) arrived we started to have lunch, but not before N took her mother's sandwich and hid it. She made C find it in the oven which was her way of telling her mom and dad that a new grandchild was on the way. Later we found out that N's husband (J) was working his last day for the major department store he worked for. They were restructuring and he was being laid off. But they weren't too concerned about that. We had a great time with everyone that evening. On Sat. we just enjoyed hanging out. N had a dinner party that evening with all of us and J's family.  Sunday was a sit around the pool and finish up the Sat. night leftovers. On Monday it was discovered that the septic system was having an issue. J called someone and we all took off for a little place that sold the best cinnamon rolls I have ever had.  When we returned the problem was fixed. Then is was Tuesday and time for us to head back.  Some other events were playing with some new kittens that N was caring for, watching a lot of TV geared to a 2 year old., visiting an outlet mall and having a SC low country boil dinner for my sister's birthday. It was a great few days and I'm looking forward to going again.",1.0,My husband and I traveled to Miami. We saw family there. We had some great food. The trip was to celebrate my sister's birthday.,150.0,1953.0720295878057
3KGTPGBS6Y72U4AZG7HN9MGCUH7U24,454,DFV6L6A1,45.0,man,white,1.0,2.0,,4.0,3.0445224377234235,a woman resolving to leave her husband after 15 years,imagined,the woman's decision to cut free of her husband,0.375,,3WR9XG3T64XAZ7DQ7D70S9ZQ6FV74Q,4.0,I could identify to the dysfunctional relationship and desire for freedom,"We have been married for 15 years now. Together we raised two lovely, healthy, happy children. And yet I know now that the time is right to move on. We have been unhappy together for many years. We tried to work things out. We went to couples' therapy, individual therapy, went on frequent holidays together to recharge. But we just continually argued and didn't get along. It's been hard on the kids, I know. But even more than that it's been hard on us. We both show the signs of stress from years of bickering and conflict. It's painful to see my husband struggle. And it's been really painful to feel that I am not the same woman I was when I married all that time ago. So I am setting out on my own. For the first time in a logn while, I will be independent of a man, and free. I am excited to explore the world and travel again. And I look forward in time to meeting another man who will love the free spirit that I am and will become.",2.0,I am divorcing my husband and starting over.  It will not be the end but a beginning of a new and exciting life,21.0,461.0810181320672
3L70J4KAZH85I5UH7RKD54VNFAYDAL,1436,2K9NEVI7,55.0,man,white,1.0,1.0,2.0,5.0,5.799092654460527,moving west,retold,we discovered costs involved,0.0,3CN4LGXD5YATER9RUMX05MJNF0NY4E,,,,"after years of contemplation we decided to move from new york  (where we lived most of our lives) to california.  The reason for this was twofold. Number one was to be closer to family already settled in california. Number two was a sense of needed change in our lives. We are seniors and the whole experience was very daunting. Selling our house that we lived in over 40 years was a struggle. Then we had the issue of what to do with our to beloved dogs.  This caused internal family problems that still haven't been totally resolved as of this date. Finding a new place to live remotely was an issue that was helped somewhat by the help from our family and by extensive use of the internet. As it turned out, we ended up with a home that someone off offhandedly remarked was available and it turned out to be just right for us. Next objective was to buy a car. Very little funds were available. The car shopping took time. Many hours spent shopping around. Finally the right car at the right price was found. The purchase transaction went smoothly.",1.0,moving. from east coast. to west coast and the difficulties encountered. process took over three months to complete. cost of move was greater than expected.,330.0,885.2059295707766
3A4TN5196L4AN0WHD1ZU2K08IB4HCD,3403,J05P8WHU,30.0,man,white,1.0,1.0,4.0,5.0,68.26662257360505,my first trip to Vietnam,recalled,a little gril tried to hold my hand,0.25,3A4TN5196L4AN0WHD1ZU2K08IB4HCD,3A4TN5196L4AN0WHD1ZU2K08IB4HCD,,,"A few months ago I went on a work trip to Vietnam and it completely changed how I saw the world. Now I have been out the country before but it was just to Europe and Canada so I wasnt quite sure what to expect. After the long thirty hours it took to get to my destination I get to customs and when I show them my passport I was told to sit down where nobody tells me a thing for an entire hour. At this point im terrified since this is my first time traveling internationally by myself and there are a bunch of people with automatic rifles who told me to sit down. The entire hour im picturing how im going to spend the rest of my life in a Vietnamese prison but eventually I find out that the consulate in San Francisco screwed something up and I was free to enter the country. So I walk down grab my bags and exchange some money for the taxi ride. For months I had been researching Vietnam and all the scams that happen so I knew one of the big ones was that you always take a taxi with a meter. As I walk out of the airport some guy comes up to me and asks if I need a taxi. I say yes and we walk to his car. He tells me $40 and I say meter but he says he doesnt have one. We go back and fourth for a while and eventually I accept since that price sounds reasonable, its 3 AM and I havent slept in over a day. So we drive to my hotel and everything is fine. Eventually I come to find pretty much every taxi is about one dollar anywhere in the city. Months of panning to not get ripped off gone out the window 30 seconds into my trip. The next day I wake up early and walk out of my hotel and see im pretty much next to the biggest market in Ho Chi Minh City so there are people trying to sell you everything. Once again 5 steps out of the hotel some guy trys to sell me on some tour which I read is a ripoff. Also the motorbikes are deathtraps so I wasnt interested. I tell this guy no 20 times but he continues to walk with me. Then he starts showing me pictures of him with only white people and their handwritten notes that talk about how amazing he is. Obviously a scam as I continue to walk to the market but he wont leave. During the walk some little five year old girl walk up to me and starts holding my hand which scares me more than anything. I try to shake my hand to get her to let go but she refuses. Eventually the man gets her to let go so at least now im happy he is there. I finally make it to the market so the man leaves.  Overall it was a difficult beginning to Vietnam but I love the country and the people who live there and it ended up being on of the best travel experiences of my life.",1.0,"I travel to Vietnam where I had trouble getting into the country. After I was finally admitted into the country I was ripped off, followed by some salesperson, and had a random five year old girl try to hold my hand.",4.444444444444444e+29,1233.6728968406608
3YZ8UPK3VU8FSM21D06TLZPZ175CUB,5700,ELT4GF22,25.0,man,white,3.0,2.0,3.0,4.0,5.48063892334199,getting lost in the woods with my dogs.,retold,I found the letters/numbers in the woods.,0.5,3W92K5RLWV3U6GIM3GTQ3FL7YA4V5M,,,,"I was taking my dogs for a walk in the woods behind my house. Everything was going to be fine or so I thought.. Turns out, walking your dogs in the woods can be far more than you expected. In reality, this walk in the woods turned out to be a 2 1/2 hour endeavor. How could a seemingly innocent walk in the woods with your fur family members become an elongated process? Well.., when you decide to check out new paths and different areas you can REALLY become lost in the woods. Trees start to become the same, especially here in the Maine where we are called ""The Pine Tree State"". That's really all you see-- pine trees mixed with scant hardwood forest species (once pine trees take over an area the forest floor soil becomes acidic making it harder for other trees to propagate) and patches of shrubs in open areas. Where I live in particular is hilly and did I mention has many trees? I eventually found myself in new territory with my dogs, and confused about which direction home was in. This confusion kept hitting me for about an hour and a half, walking back and forth continuously coming back to an area. The final time I came back to this area in the woods, I noticed something unusual, numerous letter 'P's or '9's hanging from small tree branches, made of felt material. It was very odd to see, as there were at least a dozen or more hanging in this small area off these one or two trees and their numerous small branches. I immediately took that as a sign from where I was standing in relation to these letters/numbers, I had to go in the westerly direction. After walking for what felt like an eternity, my dogs and I finally noticed familiar territory! We were approaching our home, and made it home safe despite being dehydrated and wiped out (covered in ticks no less). In essence walking in the woods with your dogs can be fine and dandy as long as you bring your phone with a GPS app (I use Gaia GPS) and do not encourage yourself and your poor English bulldogs to go further and further in. Thank God.",3.0,"Took my dogs for a walk in the woods and got lost. Running out of hope and filled with fear, a sign from the heavens came near. The sign lead us home safe and sound, thank God!",240.0,1105.8801013858426
3D4CH1LGEBFUP6U3HB7LFUNZX2H9G6,546,O59NFIUZ,30.0,woman,white,1.0,2.0,,5.0,2.6390573296152584,My dad being diagnosed with congestive heart failure,imagined,He is not the same father I grew up with.,0.75,,3V5Q80FXIYDIVAXG1NLMMDQCNFH32R,4.0,My mom was diagnosed with the same disease.,"A couple weeks ago my family found out some really bad news. My father was diagnosed with Congestive Heart Failure and he also has a blood clot in his heart right now. Its been so tough because my father does not have health insurance and we have been trying to find some that will take him on. It is also really emotionally draining because he is such a strong man and now he is so sick and does not want to do anything. He takes so much medicine now and he just is not the same father I grew up with. I have been working extra shifts at my job to help with his medical bills and his prescription medicine. I feel like I have to do what I have to do to take care of my dad. He took care of me all those years, now I will repay the favor. He is so quiet, he likes to lay in his bed and watch his shows on TV still. I like to go in the room with im and cuddle up and watch some tv with him to spend some more time with him. We have a great dane who my dad raised since he was a puppy and even the dog seems really sad. He likes to hang out by my dads bed because he is not lalowed on th ebd. Everyone is really sad. My dad keeps talking about setting up funeral arrangements. I really hate talking about that kind of stuff. I liove my dad but this has taken a huge toll on our family.",3.0,"My dad was diagnosed with congestive heart failure and has a blood clot in his heart. This has been emotionally and financially hard on our family, even causing me to have to work extra hours.",14.0,855.0422062635658
3QEMNNSB2YLNZ3WJ0O8TVDTWPAT7DE,1624,EOBV9MZN,40.0,woman,white,1.0,1.0,2.0,5.0,67.97894050115326,my trip to the Oregon Coast.,recalled,I was able to have my own bedroom.,0.875,,3QEMNNSB2YLNZ3WJ0O8TVDTWPAT7DE,,,"In May my mom, sister, niece and nephew took a wonderful trip to the Oregon Coast. We rented a rustic beach house in Lincoln. The beach house sat high above the ocean with a set of stairs that lead down to the beach. Our mornings were filled with coffee and relaxing on our deck or in the hot tub overlooking the water. Then followed a morning walk along the beach looking for seashells.      In the afternoons we enjoyed playing board games and sometimes took a nap. In the evenings we would make a scrumptious dinner, return to stroll along the water while watching the sunsets, and then again to the hot tub with a glass of wine. We watched movies in the evenings.      The only disappointing part of the trip is how we did not get much sunshine. We had quite a bit of drizzly rain. However you can't expect anything different on the Oregon Coast that time of year.      I really enjoy having a niece and nephew who are twins. They are each other's best friends and are the kindest, most thoughtful kids I know. They have brought much joy to our family. This was a special vacation I will remember for the rest of my life.",1.0,"My journal entry is about my trip to the Oregon Coast with my family. It's about the time we spent walking along the beach, collecting seashells, sitting in the hot tub, and playing games.",3.333333333333333e+29,449.81139354923494
3BDCF01OGYGPCZGC0EWHR3LY33QYLF,1929,S9P6EB3U,25.0,woman,white,2.0,3.0,4.0,5.0,5.010635294096256,accepting her sons diagnosis.,recalled,when the husband was being supportive and right.,0.375,,3BDCF01OGYGPCZGC0EWHR3LY33QYLF,,,"Here recently I have been feeling depressed and stuck in life. Not moving forward if anything moving backwards. I am a mother of three children ages seven, four, and three. My four year old has been diagnosed with autism. This was heart breaking for me. I had my suspicions, but i honestly didn't want to face it . What would this mean for him? What would this mean for me ? For my family? I started going through the possibilities and the anti-possibilities that would now be my future. My child may possibly never speak in conversations. He may never have friends. He may never move out on his own . My precious boy who is always happy and so very loving will now be looked at as a freak in society.  All because of a diagnosis. Because of a disability in being social. Its enough to make my head spin. With all the new realizations comes some very real emotions. Depression seemed to take roots and flourish within me .  Then a conversation with my husband helped me shed the diagnosis like a skin. He said,""What has changed?  A diagnosis? That's it. He is still your baby boy, still your son. He still loves you  just the same . And I can bet that you love him just the same if not more now. "" That is a conversation I will replay in my mind forever.  My boy did not change and my love for him hasn't either. Being a mom is tough. Being a mom of a child with autism is even tougher.",1.0,A mother struggling to accept her sons diagnosis. A husband helping and supporting his wife.  The wife feeling better and accepting of her new life.,150.0,1222.882750949776
